Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Quarter,Is_month_end,Day_sin,day_cos,Month_sin,Month_cos,Lag_1,Rolling_4,Rolling_12,Fuel_Change,CPI_Change,Unemployment_Rel,Month,Week,Is_Thanksgiving,Is_Christmas,XGB_Pred,Ensemble_Pred
1,2012-09-07,1661767.33,1,83.96,3.73,222.4390153,6.908,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1802477.43,1748757.035,1665747.656,0.0941625110002934,0.0098691813966129,0.8941121652580216,9,36,0,0,1631640.1,1631640.1
2,2012-09-07,1898777.07,1,87.65,3.73,222.0747635,6.565,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,2103322.68,2122632.1425,2079266.9,0.0941625110002934,0.0098672477419516,0.8511272736701543,9,36,0,0,1896163.2,1896163.2
3,2012-09-07,408229.73,1,84.99,3.73,225.9660263,6.334,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,473292.47,462250.3175,437811.05,0.0941625110002934,0.0098875856068185,0.8734021869527446,9,36,0,0,439738.78,439738.78
4,2012-09-07,2125104.72,1,82.09,3.709,130.9325484,4.077,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,2374660.64,2150002.5575,2079606.8075,0.0873644092641454,0.0042002194008607,0.6642364010345599,9,36,0,0,2033286.0,2033286.0
5,2012-09-07,350648.91,1,86.3,3.73,223.0298805,5.603,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,349239.88,389353.435,359501.607,0.0941625110002934,0.009872305126259,0.8767427668330543,9,36,0,0,362432.44,362432.44
6,2012-09-07,1608077.01,1,86.33,3.73,224.0560076,5.668,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1620603.92,1769143.25,1680907.927,0.0941625110002934,0.0098776907204216,0.8468422703978725,9,36,0,0,1609394.6,1609394.6
7,2012-09-07,597876.55,1,57.84,3.596,198.0950484,7.872,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,563460.77,731582.1775,672400.265,0.1588785046728971,0.005969661544793,0.9058792391166756,9,36,0,0,604988.9,604988.9
8,2012-09-07,932160.37,1,80.87,3.73,226.0153733,5.401,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1021400.42,1011824.2175,975330.86,0.0941625110002934,0.0098878389985386,0.8762309576729018,9,36,0,0,919031.0,919031.0
9,2012-09-07,565812.29,1,87.93,3.73,226.2103541,5.277,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,609736.12,635022.5675,588950.821,0.0941625110002934,0.0098888391589764,0.8532070041552813,9,36,0,0,584916.3,584916.3
10,2012-09-07,1708283.28,1,83.07,4.124,130.9325484,7.17,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,2218595.8,1882037.3175,1905926.80875,0.108006448146158,0.0042002194008607,0.8490607931080421,9,36,0,0,1750356.5,1750356.5
11,2012-09-07,1304584.4,1,85.17,3.73,225.9660263,6.334,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1574287.76,1519977.4625,1448394.485,0.0941625110002934,0.0098875856068185,0.8734021869527446,9,36,0,0,1343113.2,1343113.2
12,2012-09-07,955146.04,1,88.52,4.124,130.9325484,10.926,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1199330.85,1214508.845,1138140.42,0.108006448146158,0.0042002194008607,0.8202825868256279,9,36,0,0,1020503.8,1020503.8
13,2012-09-07,2165796.31,1,70.65,3.689,130.9325484,5.765,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,2069284.57,2019264.775,1937483.425,0.1838896020539153,0.0042002194008607,0.8138344803246867,9,36,0,0,2011857.5,2011857.5
